"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"32","Indraprastha Gas Limited","IGL","P&F | F.A","1.59%","398.55","1,711,083"
"17","Jbm Auto Limited","JBMA","P&F | F.A","1.36%","1173.95","21,784"
"12","Mphasis Limited","MPHASIS","P&F | F.A","1.18%","2146.2","277,666"
"24","Syngene International Limited","SYNGENE","P&F | F.A","1.15%","701","808,442"
"38","Biocon Limited","BIOCON","P&F | F.A","1.15%","228.85","1,394,469"
"7","Indiamart Intermesh Ltd","INDIAMART","P&F | F.A","0.71%","2712.05","101,989"
"20","Adani Green Energy Ltd","ADANIGREEN","P&F | F.A","0.69%","886.9","199,552"
"4","L&t Technology Services Limited","LTTS","P&F | F.A","0.31%","4228.55","97,954"
"33","Wipro Limited","WIPRO","P&F | F.A","0.29%","384.25","1,697,933"
"28","Dabur India Limited","DABUR","P&F | F.A","0.26%","522.7","789,493"
"42","NMDC Steel Ltd","NSLNISP","P&F | F.A","0.24%","41.25","7,339,637"
"23","Adani Energy Solutions Ltd","ADANIENSOL","P&F | F.A","0.18%","737.1","176,564"
"26","Zydus Lifesciences Ltd","ZYDUSLIFE","P&F | F.A","0.04%","570.55","261,616"
"29","Sona BLW Precision Forgings Ltd","SONACOMS","P&F | F.A","-0.01%","508.9","903,122"
"10","Reliance Industries Limited","RELIANCE","P&F | F.A","-0.03%","2262.6","2,724,737"
"15","Clean Science & Technology Ltd","CLEAN","P&F | F.A","-0.1%","1330","32,818"
"41","Redington (india) Limited","REDINGTON","P&F | F.A","-0.18%","142.4","1,058,676"
"31","Gujarat Gas Limited","GUJGASLTD","P&F | F.A","-0.33%","405.45","527,515"
"16","Kajaria Ceramics Limited","KAJARIACER","P&F | F.A","-0.36%","1217.55","148,537"
"11","Alkyl Amines Chemicals Limited","ALKYLAMINE","P&F | F.A","-0.47%","2180.9","10,504"
"9","Pidilite Industries Limited","PIDILITIND","P&F | F.A","-0.57%","2337.6","90,965"
"1","Page Industries Limited","PAGEIND","P&F | F.A","-0.61%","37213","15,545"
"39","Bandhan Bank Ltd","BANDHANBNK","P&F | F.A","-0.81%","219.5","5,835,042"
"6","Divi's Laboratories Limited","DIVISLAB","P&F | F.A","-0.94%","3468.2","303,678"
"8","Akzo Nobel India Limited","AKZOINDIA","P&F | F.A","-0.94%","2415.75","6,067"
"2","Atul Limited","ATUL","P&F | F.A","-0.98%","6328.75","38,649"
"18","G R Infraprojects Ltd","GRINFRA","P&F | F.A","-1.22%","1122.7","21,640"
"30","Rajesh Exports Limited","RAJESHEXPO","P&F | F.A","-1.22%","426.45","532,481"
"5","Navin Fluorine International Limited","NAVINFLUOR","P&F | F.A","-1.27%","3485.5","111,392"
"27","Adani Total Gas Ltd","ATGL","P&F | F.A","-1.29%","565.75","880,616"
"25","PB Fintech Ltd","POLICYBZR","P&F | F.A","-1.34%","691.05","1,044,288"
"37","Aegis Logistics Limited","AEGISCHEM","P&F | F.A","-1.42%","299.35","127,682"
"36","Triveni Turbine Limited","TRITURBINE","P&F | F.A","-1.43%","341.2","513,018"
"13","Tata Communications Limited","TATACOMM","P&F | F.A","-1.52%","1590.65","914,673"
"3","Fine Organic Industries Ltd","FINEORG","P&F | F.A","-1.74%","4577.1","13,861"
"21","Aether Industries Ltd","AETHER","P&F | F.A","-1.79%","875.5","27,361"
"35","Laurus Labs Limited","LAURUSLABS","P&F | F.A","-1.86%","355.65","2,581,091"
"14","Infosys Limited","INFY","P&F | F.A","-2.39%","1375.05","2,527,250"
"22","Finolex Cables Limited","FINCABLES","P&F | F.A","-2.68%","873.15","272,914"
"34","CG Power and Industrial Solutions Ltd","CGPOWER","P&F | F.A","-3.02%","372.4","888,081"
"40","Finolex Industries Limited","FINPIPE","P&F | F.A","-3.16%","196.25","713,282"
"19","Bharat Dynamics Ltd","BDL","P&F | F.A","-4.21%","929.1","402,605"